               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.031075,            0.013984,           0.0081965,             0.90413,             0.90279,             0.92153,             0.60401,            0.031743,           0.0094891,            0.010277,           0.0085315,           0.0085315,           0.0085315
                  91,            0.030837,            0.013743,           0.0089929,             0.88912,             0.88274,             0.92346,             0.61032,             0.03168,           0.0095272,            0.010803,            0.008515,            0.008515,            0.008515
                  92,            0.030872,            0.013889,           0.0087542,             0.87332,             0.91276,             0.91028,             0.60097,            0.031628,           0.0094554,             0.01322,           0.0084985,           0.0084985,           0.0084985
                  93,            0.031433,            0.013822,           0.0080992,             0.89993,              0.9207,             0.92946,             0.62031,            0.031558,           0.0093327,           0.0093423,            0.008482,            0.008482,            0.008482
                  94,            0.031307,            0.013709,           0.0083676,              0.9187,             0.89275,             0.91774,              0.6102,            0.031669,           0.0094198,            0.010128,           0.0084655,           0.0084655,           0.0084655
                  95,            0.031177,             0.01431,           0.0081238,             0.89668,             0.90291,              0.9133,             0.61131,            0.031774,           0.0093218,             0.01087,            0.008449,            0.008449,            0.008449
                  96,            0.031185,            0.013847,           0.0080314,             0.86563,             0.90441,             0.90937,             0.61127,            0.031456,           0.0093791,            0.012869,           0.0084325,           0.0084325,           0.0084325
                  97,            0.031012,            0.013892,           0.0084082,              0.8888,             0.89501,             0.92172,             0.61927,            0.031349,           0.0093543,            0.010552,            0.008416,            0.008416,            0.008416
                  98,            0.031142,            0.013843,           0.0091586,             0.90278,             0.89087,             0.92421,             0.62256,            0.031499,           0.0093857,            0.011124,           0.0083995,           0.0083995,           0.0083995
                  99,            0.030862,            0.013509,           0.0083398,             0.91403,             0.90277,             0.92198,             0.61051,            0.031882,           0.0094306,           0.0099695,            0.008383,            0.008383,            0.008383
                 100,             0.03111,            0.013718,            0.008388,             0.90773,             0.86686,             0.90378,             0.60847,            0.031898,           0.0096668,            0.012585,           0.0083665,           0.0083665,           0.0083665
                 101,            0.030688,            0.013728,           0.0088393,             0.88265,             0.91811,             0.91833,             0.61086,            0.031659,           0.0093616,            0.010349,             0.00835,             0.00835,             0.00835
                 102,            0.031126,            0.013539,           0.0083222,             0.90365,             0.88921,             0.90384,             0.61162,            0.031603,           0.0092942,              0.0112,           0.0083335,           0.0083335,           0.0083335
                 103,            0.030764,            0.013791,           0.0082751,             0.90846,             0.89656,             0.90114,             0.60983,             0.03106,           0.0093199,            0.011877,            0.008317,            0.008317,            0.008317
                 104,            0.031356,            0.014423,           0.0077636,             0.91194,             0.88561,             0.91812,             0.62601,            0.030892,           0.0092087,            0.011805,           0.0083005,           0.0083005,           0.0083005
                 105,            0.030915,            0.013684,           0.0080687,             0.88679,             0.89795,             0.91372,              0.6118,            0.031647,           0.0093333,            0.010984,            0.008284,            0.008284,            0.008284
                 106,            0.031187,            0.013909,           0.0083832,             0.92188,             0.87645,             0.91257,             0.61386,             0.03125,           0.0093657,            0.011031,           0.0082675,           0.0082675,           0.0082675
                 107,            0.030977,            0.014007,           0.0082794,             0.91436,             0.88634,             0.91409,             0.61572,            0.031179,           0.0092837,            0.010962,            0.008251,            0.008251,            0.008251
                 108,            0.030982,            0.013773,           0.0079224,             0.89887,             0.88529,             0.90698,             0.61056,             0.03115,             0.00927,            0.011677,           0.0082345,           0.0082345,           0.0082345
                 109,            0.030554,            0.013837,           0.0080229,             0.89921,             0.90143,              0.9154,             0.61776,             0.03095,           0.0094055,            0.010457,            0.008218,            0.008218,            0.008218
                 110,             0.03059,            0.013968,           0.0084903,             0.90106,             0.91673,             0.92724,              0.6177,            0.031785,           0.0093393,           0.0097639,           0.0082015,           0.0082015,           0.0082015
                 111,            0.030977,            0.013648,           0.0079456,             0.92446,             0.90642,             0.91705,             0.61701,            0.031112,           0.0093835,            0.010725,            0.008185,            0.008185,            0.008185
                 112,            0.030115,            0.013872,           0.0081079,             0.92484,             0.90147,             0.92802,             0.62516,            0.031007,           0.0092278,           0.0097663,           0.0081685,           0.0081685,           0.0081685
                 113,            0.030427,            0.013523,           0.0079434,             0.91005,              0.8949,             0.92571,             0.62922,            0.030774,           0.0091661,           0.0099689,            0.008152,            0.008152,            0.008152
                 114,            0.030657,            0.014041,           0.0076331,             0.90643,              0.8997,             0.91475,             0.61211,            0.031027,           0.0092837,            0.010222,           0.0081355,           0.0081355,           0.0081355
                 115,            0.030536,            0.013802,            0.008183,             0.90359,             0.89331,             0.90947,             0.61406,            0.030727,           0.0092481,            0.010512,            0.008119,            0.008119,            0.008119
                 116,            0.030774,             0.01379,           0.0083151,             0.89101,              0.8931,             0.91719,             0.59585,            0.031886,           0.0094229,            0.011177,           0.0081025,           0.0081025,           0.0081025
                 117,             0.03059,             0.01368,           0.0078611,             0.90115,             0.90042,             0.91699,              0.6183,            0.031199,           0.0094064,            0.010108,            0.008086,            0.008086,            0.008086
                 118,            0.030578,            0.013732,           0.0079176,             0.92246,             0.88192,             0.90172,              0.6092,            0.031998,           0.0093079,            0.011055,           0.0080695,           0.0080695,           0.0080695
                 119,            0.031224,            0.013938,           0.0078186,              0.9119,             0.88262,             0.90485,             0.59888,            0.031935,           0.0094805,            0.012432,            0.008053,            0.008053,            0.008053
                 120,            0.030357,            0.013749,           0.0074913,             0.90416,             0.88623,             0.91307,             0.61831,            0.031213,            0.009257,            0.010901,           0.0080365,           0.0080365,           0.0080365
                 121,            0.030351,            0.013695,            0.007531,              0.9038,             0.89059,             0.91681,             0.61413,            0.031553,           0.0092754,            0.010758,             0.00802,             0.00802,             0.00802
                 122,            0.030111,            0.013451,           0.0076613,             0.91992,              0.8949,             0.91699,             0.62088,            0.030912,           0.0092707,            0.010081,           0.0080035,           0.0080035,           0.0080035
                 123,            0.030009,            0.013608,           0.0080952,             0.91741,              0.9007,             0.91702,             0.62126,             0.03071,           0.0093447,           0.0099218,            0.007987,            0.007987,            0.007987
                 124,             0.03122,            0.013506,           0.0079314,              0.8801,             0.89863,             0.90777,             0.61651,            0.030959,           0.0093206,            0.011603,           0.0079705,           0.0079705,           0.0079705
